Myanmar,English
ဒီလွယ်အိတ် အကြွေးဝယ်ကတ်နဲ့ ဝယ်ထားတာ။,I bought this bag with my credit card
မစ္စတာမဆုအိဆီကို ပို့စကတ် ပို့မယ်။,I will send a postcard to Mr Matsui
အမေ အမြဲတမ်း ကျွန်တော့်ကို ဈေးဝယ်ခိုင်းတယ်။,My mum always asks me to do the shopping
ဟင့်အင်း၊ မဟုတ်ဘူး။,No thats not correct
ဒီနေ့ မစ္စတာလီနဲ့ ရုပ်ရှင် သွားကြည့်မယ်။,Today I will go watch a film with Mr Lee
နေ့တိုင်း ကျောင်းသွားတယ်။,I go to school every day
ရေချိုးခန်းမှာ ဆပ်ပြာ မရှိဘူး။,There is no soap in the bathroom
မေမေက ကိတ်မု့န် အရမ်း ကြိုက်တယ်။,My mother loves cake
နောက်နှစ်ကျရင် ကျွန်တော် ကားအသစ် ယ်မယ်လို့ စိတ်ကူးထားတယ်။,I am thinking of buying a new car next year
စာကြည့်တိုက်ကနေ စာအုပ် သုံးအုပ် ငှားခဲ့တယ်။,I borrowed three books at the library
ကျောင်းက အဲဒီတောင်နားမှာ ရှိတယ်။,The school is near that mountain
အပြင်ထွက်တုန်းက မီးပိတ်ဖို့ မေ့သွားတယ်။,I forgot to turn off the lights when I went out
ဒီနေ့ သူငယ်ချင်းနဲ့ ညစာ စားမယ်။,I will eat dinner with my friend today
အဲဒီလူရဲ့ နာမည်ကို မေ့သွားတယ်။,I forgot that persons name
ဒီည သူငယ်ချင်း အိမ်မှာ လာတည်းမယ်။,My friend is going to stay at my house tonight
သူငယ်ချင်းကို လက်ကိုင်ဖုန်းနံပါတ် ပြောပြလိုက်တယ်။,I gave my mobile phone number to my friend
ဒီနေ့ မအေးဘူး။,It is not cold today
နေ့တိုင်း ခြောက်နာရီမှာ အိပ်ရာထတယ်။,I wake up at  every morning
အန္တရာယ်ရှိလို့ အဲဒီကို မသွားပါနဲ့။,Dont go that way because it is dangerous
ဒီစာသင်ခန်းမှာ ကွန်ပျူတာ ခုနစ်လုံး ရှိတယ်။,There are seven computers in this classroom
ခရီးသွားတုန်းက ဓာတ်ပုံတွေ အများကြီး ရိုက်ခဲ့တယ်။,I took a lot of pictures during the trip
မနက်ဖန်ရဲ့ ရာသီဥတုအခြေအနေကတော့ မိုးရွာပါမယ်။,The weather will be rainy tomorrow
ကျွန်တော့်မှာ မိသားစု ငါးယောက် ရှိတယ်။,There are five people in my family
ဒီခွက်ကို ဝယ်မယ်။ ပြီးတော့ ဒီပန်းကန်ပြားလည်း ဝယ်မယ်။,I will buy that cup I will buy that plate too
အဲဒါ ဘယ်တုန်းက သတင်းစာလဲ။,When is that newspaper from
လေတိုက်နေလို့ ချမ်းတယ်။,It is cold because the wind is blowing
ကျွန်တော် အရောင်တွေထဲမှာ အဖြူရောင်ကို အကြိုက်ဆုံးပဲ။,I like white the best of all the colours
ကျွန်တော်က တိုကျိုမှာ နေပေမဲ့ ညီလေးကတော့ ကျိုတိုမှာ နေတယ်။,I live in Tokyo whereas my little brother lives in Kyoto
ဘူတာကနေ နံပါတ်ဆယ်ငါးဘတ်စကား စီးမယ်။,I will get on bus number  from the station
မီးဖို ငြိမ်းသွားလို့ ချက်ချင်း ပြန်ထွန်းလိုက်တယ်။,I turned on the heater quickly when it went out
ကိုယ် အရမ်း ပူလို့ ကျောင်းမသွားနိုင်ဘူး။,My fever was too high so I couldnt go to school
မစ္စတာတာနာခါက အရပ်ရှည်တယ်။,Mr Tanaka is tall
ဘေးကအခန်းမှာ ဘယ်သူများ ရှိလို့လဲ။,Was there anyone in the room next to us
ဒီည ဟိုတယ်မှာ တည်းမယ်။,I will stay at a hotel this evening
ဒါဖြင့်၊ ကူညီဆောင်ရွက်ပေးပါ။,Well then thank you in advance
ခြေထောက်နာလို့ မပြေးနိုင်တော့ဘူး။,I cannot run anymore because my feet hurt
ကျွန်တော် နောက်နှစ်ကစပြီး ဒီမြို့မှာ နေမယ်။,I will live in this town from next year
နံရံမှာ ဓာတ်ပုံ ကပ်မယ်။,I will put up a picture on the wall
ဘရာဇီးဟာ ဘောလုံး အရမ်း အားသာတဲ့နိုင်ငံ ဖြစ်တယ်။,Brazil is a country that has a strong football team
မနေ့တုန်းက ကျွန်တော် စာဖတ်တယ်။,I studied yesterday
မနေ့ညက အတော် မိုးချုပ်တဲ့အထိ စာဖတ်တယ်။,I was studying until late yesterday evening
တီဗွီက မျက်စိအတွက် မကောင်းဘူး။,Watching TV is not good for your eyes
ကျေးဇူးတင်ပါတယ်။,Thanks
ဟိုမှာ ခွေး နှစ်ကောင် ရှိတယ်။,There are two dogs over there
ဒီမနက်က ရာသီဥတုသာယာတယ်။,The weather is nice this morning
စားပွဲခုံကို ကိုယ်တိုင် လုပ်တယ်။,I will make a table by myself
နောက်နှစ် နွေဦးကျရင် အစ်မ မင်္ဂလာဆောင်မယ်။,My sister will marry next spring
မနေ့က သူငယ်ချင်းဆီက စိတ်ဝင်စားဖို့ကောင်းတဲ့သတင်း တစ်ခု ကြားခဲ့တယ်။,Yesterday I heard some interesting news from my friend
ကျွန်တော့်ညီ နောက်လဆို အသက်နှစ်ဆယ် ပြည့်မယ်။,My brother will become twenty years old next month
မနက်ဖန် နေသာရင် တင်းနစ်ကစားကြမယ်။,If it is sunny tomorrow lets play tennis
စာရေးခုံပေါ်မှာ စာအုပ် ရှိတယ်။,There is a book on the desk
အပြင်မှာ အေးလို့ ကုမ္ပဏီကို ကုတ်အင်္ကျီ ဝတ်သွားတယ်။,It is cold outside so I will wear a coat and go to work
မစ္စတာမဆုအိ အိမ်စာမလုပ်သေးဘူး။,Mr Matsui hasnt started homework yet
နီးတယ်ဆိုရင် ခြေလျင်လျှောက်မယ်လေ။,Lets walk if it is close
နေ့တိုင်း နေ့လယ်ပိုင်းဆို တစ်နာရီ နားတယ်။,I rest for an hour during lunchtime every day
ကျွန်တော် မနက်တိုင်း လမ်းလျှောက်တယ်။,I take a walk every morning
မစ္စတာလီ မနေ့က မစ္စတာမဆုအိဆီမှာ ခန်းဂျီး သင်တယ်။,Yesterday Mr Lee learned Kanji from Mr Matsui
ဘူတာအထိ လမ်းလျှောက်သွားမယ်။,I will walk to the station
အဲဒီလူက မစ္စတာခိုဘာယာရှိပါ။,That person is Mr Kobayashi
အဝါရောင်ရှပ်အင်္ကျီ ဝတ်ထားတဲ့တစ်ယောက်က မစ္စတာဟယရှိပါ။,The person who is wearing a yellow shirt is Mr Hayashi
ဒီနေ့ ရာသီဥတု မကောင်းဘူး။,The weather is bad today
ကြက်ဥကို ဆားဖြူးပြီး စားတယ်။,I eat egg with salt
ဒီည စာကြည့်တိုက်မှာ အိမ်စာလုပ်မယ်။,I will do my homework at the library this evening
ဒီအဆောက်အအုံရဲ့ တတိယထပ်မှာ ရှိတယ်။,It is on the third floor of this building
ကျွန်တော် အဖေ့ဆီက စာအုပ် ရခဲ့တယ်။,I received a book from my father
ဒီဟင်းကို ကြက်ဥ နှစ်လုံး သုံးရတယ်။,We need two eggs for this dish
အိမ်က အဲဒီချောင်းရဲ့ တစ်ဖက်မှာ ရှိတယ်။,My house is on the other side of the river
လမ်းကူးပြီး ဘယ်ဘက်ခြမ်းကနေ လျှောက်ရအောင်။,Lets cross the street and walk on the left
အိမ်သာက လျှောက်လမ်းလေးရဲ့ ဘယ်ဘက်ခြမ်းမှာ ရှိတယ်။,The toilet is on the left side of the hallway
အဖေ နေ့တိုင်း မနက်ကနေ ညအထိ အလုပ်လုပ်တယ်။,My father works from morning to evening every day
ကျွန်တော် အင်္ဂလိပ်စာ ဒီထက် ပိုတော်ချင်တယ်။,I want to become better at English
ဂျပန်စာစာသင်ခန်းက ဘယ်မှာလဲ။,Where is the Japanese classroom
ကျွန်တော် မစ္စတာခိုဘာယာရှိကို မှတ်စုစာအုပ် ငှားလိုက်တယ်။,I lent Mr Kobayashi my notebook
မနက်ဖန် နိုင်ငံခြားသားမိတ်ဆွေနဲ့ တွေ့မယ်။,I will meet a foreigner friend tomorrow
ဘာဖြစ်လို့လဲ။,Why
အင်္ဂါနေ့ မကျော်ခင်အထိ စာအုပ် ပြန်မအပ်လို့မဖြစ်ဘူး။,You must return the book by Tuesday
အဲဒီရုပ်ရှင်ရုံက သစ်လွင်ပြီး သန့်ရှင်းနေတာပဲ။,That cinema is new and pretty
ကျွန်တော့်မှာ ညီအစ်ကိုမောင်နှမ နှစ်ယောက် ရှိပါတယ်။,I have two brothers
ကိုကာကိုလာ နှစ်ခွက် ပေးပါ။,Two bottles of CocaCola please
အဲဒီကုမ္ပဏီက ကားထုတ်လုပ်နေတယ်။,That company makes cars
တခြားလူကို မပြောရဘူး။,You may not talk about this to other people
အခု ဆယ့်နှစ်နာရီ ကျော်ပြီ။,It is past  now
ဒီဟင်းက စားကောင်းမယ့်ပုံမပေါ်ဘူး။,This dish does not look good
ဆယ်ရက်နေ့ မကျော်ခင်အထိ ဒီအလုပ်ကို မလုပ်လို့မဖြစ်ဘူး။,I must do this work by the tenth
ဒီအရောင်က အရမ်း လှတယ်။,This colour is very pretty
မစ္စတာခိမုရရဲ့ အစ်မက အရမ်း ချောတဲ့မိန်းကလေး။,Ms Kimuras elder sister is very beautiful
ဒီနေ့ ဆရာ နေမကောင်းလို့ အတန်းမရှိဘူး။,Today we didnt have class because our teacher was ill
တစ်ယောက်ယောက်များ ကျွန်တော့်ဘောပင် ယူသွားသေးလား မသိဘူး။,Does someone have my pen
အခန်းက ညစ်ပတ်နေလို့ သန့်ရှင်းရေးလုပ်မယ်။,I will clean my room because it is dirty
ပေါင်မုန့်ပဲ စားလိုက်တယ်။,I only ate bread
ဟိုခွေးက နားရွက် ကြီးတယ်။,That dog has big ears
ဘဏ်မှာ ငွေချေးတယ်။,I will borrow money from the bank
မစ္စတာယာမာဒါက အတန်းထဲမှာ အရပ်အရှည်ဆုံးပဲ။,Mr Yamada is the tallest in the class
ပြတင်းပေါက် ပိတ်ထားတယ်။,The window is closed
အမေရိကမှာ အင်္ဂလိပ်စာကို သုံးလ လေ့လာခဲ့တယ်။,I studied English in America for three months
စားပွဲမှာ ပန်းကန်တွေကို စီမယ်။,I will lay out the plates on the table
ဓာတ်ပုံ နှစ်ပုံ ရိုက်လိုက်တယ်။,I took two pictures
နောက်အပတ် စာမေးပွဲရှိလို့ စာဖတ်မယ်။,I will study because I have a test next week
ရှေ့လကတည်းက ကျွန်တော် ကုမ္ပဏီက ထွက်လိုက်တယ်။,I quit my job last month
နောက်လ ကိုးရက်နေ့မှာ မိဘတွေ ကျွန်တော့်အိမ်ကို လာလည်မယ်။,My parents will come to my house on the ninth of next month
ဟာ ၊ မစ္စတာတာနာခါ မင်္ဂလာညချမ်းပါ။,Ah Mr Tanaka good evening
အဲဒီအမျိုးသားက အရပ်ကြီး မြင့်ပြီး ခြေထောက်ကြီးကလည်း အရှည်ကြီး။,That man is tall and has long legs
စာကြည့်တိုက်မှာ စာအုပ် ပြန်အပ်မယ်။,I will give back the book to the library
ဒီမှာ စာဖတ်လို့ရတယ်။,We can study here
မစ္စခိုဘာယာရှိက စကတ်ထက် ဘောင်းဘီကို ပိုကြိုက်တယ်။,Ms Kobayashi likes pants better than skirts
စားပွဲပေါ်မှာ မီးခြစ် ရှိတယ်။,There is a match on the table
အမဲသားက အသားတွေထဲမှာ ဈေးအကြီးဆုံးပဲ။,Beef is the most expensive of all kinds of meat
မွေးနေ့မှာ အဝါရောင်လက်ကိုင်ပဝါလေး လက်ဆောင်ရတယ်။,I received a yellow handkerchief for my birthday
ရောဂါ မဟုတ်တဲ့အတွက် စိုးရိမ်စရာမလိုပါဘူး။,I am not ill so please do not worry
ဟုတ်တယ်နော်။,Thats right
အိမ်ကို ဖုန်းဆက်ပေမဲ့ ဘယ်သူမှ မရှိဘူး။,I called home but no one was home
ဟို မိတ်ကပ်ဆရာက သေးသွယ်ပြီး လှတယ်။,That hairdresser is thin and pretty
မစ္စတာလီက ဂျပန်လို တတ်တယ်။,Mr Lee can speak Japanese
နံပါတ်တစ်ကနေ နံပါတ်တစ်ဆယ်အထိလူတွေ ဝင်ကြပါ။,People with the numbers one to ten please go inside
မနေ့က ကာရာအိုကေ သွားပေမဲ့ သိပ် မဆိုဖြစ်ဘူး။,I went to a karaoke place yesterday but I didnt sing a lot
ကျေးဇူးတင်ပါတယ်။,Thanks a lot
အမျိုးသမီးက ချက်ချင်း ပြန်လာတယ်။,My wife comes home soon
အခု ညခုနစ်နာရီပါ။,It is seven in the afternoon right now
ဒီပန်းက နီပြီး လှနေတာပဲ။,This flower is red and pretty
ဒီနေ့ ခပ်စောစော အိမ်က ထွက်တယ်။,Today I will leave the house early
မအိပ်ခင် မီးပိတ်တယ်။,I turn off the lights before I go to sleep
ဂျပန်ကနွေရာသီက အရမ်း ပူတယ်။,Summer in Japan is very hot
ဒီသေတ္တာက အနံ တိုပြီး အလျား ရှည်တယ်။,The vertical line of this box is short and the horizontal line is long
ဒါ အီတလီကနက်ကတိုင်ပါ။,This is a tie from Italy
ကျွန်တော်က ချစ်စရာကောင်းတဲ့အကောင်ငယ်လေးတွေကို ကြိုက်တယ်။,I like small and cute animals
ရုပ်ရှင် ကြည့်နေတုန်းက ငိုလိုက်ရတယ်။,I cried when I was watching the film
လာမယ့်လမှာ တပည့်အသစ် လာမယ်လို့ ကြားတယ်။,A new student will be coming next month
မနက်ဖန် မနက်စောစော ထမယ်။,I will wake up early tomorrow morning
တစ်နှစ် တစ်ခါ နိုင်ငံခြား သွားတယ်။,I go abroad once a year
ကိုယ်ပူပြီး အိပ်ရာက မထနိုင်ဘူး။,I could not wake up because I had a fever
အသားတုံး ထူထူကို စားတယ်။,I will eat thick meat
မစ္စတာမဆုအိက ဘောလုံးထက် ဘေ့စ်ဘော ပိုတော်တယ်။,Mr Matsui is better at football than baseball
ကြာသပတေးနေ့နေ့လယ်ပိုင်းကျရင် ဘဏ်မှာ ငွေသွားသွင်းမယ်။,I will go to the bank and transfer some money on Thursday afternoon
ဟိုတယ်မှာ တည်းမယ်။,I will stay at a hotel
ထိုင်ခုံအောက်မှာ ကြောင် ရှိတယ်။,There is a cat under the chair
ဟုတ်ကဲ့၊ ကောင်းပါပြီ၊ လုပ်ပါ။,Yes here you are
မနေ့က တောက်လျှောက် မိုးအုံ့တယ်။,It was cloudy all day yesterday
သူငယ်ချင်းဆီက ခွက်လှလှလေး ရခဲ့တယ်။,I got a cute cup from my friend
အဲဒါ ဘယ်လိုအစားအစာမျိုးလဲ။,What kind of food is it
ပူလို့ ဆွယ်တာ ချွတ်မယ်။,I will take off my sweater because it is hot
ကိုယ်ပူနေလို့ ဒီနေ့ အနားယူမယ်။,I have a fever so I will be absent from school
ငွေလွှဲချလန် ဖြည့်တဲ့အခါ ဘောပင်ကို သုံးတယ်။,When we fill out the bank transfer form we use a ballpoint pen
ပူတဲ့နေ့ဆို ဦးထုပ်ဆောင်းပြီး အပြင်ထွက်တယ်။,I wear a hat when it is hot
ဒီစာအုပ်က အရမ်း စိတ်ဝင်စားစရာကောင်းတယ် ထင်တယ်။,I think this book is very interesting
ဆရ့ာရဲ့ စာကြည့်စားပွဲပေါ်မှာ အဘိဓာန် နှစ်အုပ်နဲ့ မဂ္ဂဇင်း တစ်အုပ် ရှိတယ်။,There are two dictionaries and one magazine on the teachers desk
ကျွန်တော် နိုင်ငံခြားသားတွေကို ဂျပန်စာ သင်ပေးနေတယ်။,I teach Japanese to foreigners
မစ္စတာယာမာဒါရဲ့ အဖေက အရမ်း အလုပ်လုပ်တယ်။,Mr Yamadas father works hard
အားလုံး အတူတူ ပြန်ခဲ့တယ်။,I went home with everyone
မိသားစုအတွက် အပြန်လက်ဆောင် ဝယ်မယ်။,I will buy a souvenir for my family
ဒီရုပ်ရှင်က အရမ်း စိတ်ဝင်စားဖို့ ကောင်းတယ်။,This film is very interesting
ဒီနေ့ မစ္စတာခိုဘာယာရှိနဲ့ ခဏခဏ တွေ့တယ်။,I have bumped into Mr Kobayashi many times today
ရှေ့အပတ်က အစ်မရဲ့ မင်္ဂလာပွဲ ရှိလို့။,My sisters wedding party was held last week
အိမ်ရှေ့မှာ မျက်နှာစိမ်း နှစ်ယောက် ရှိတယ်။,There are two people I do not know in front of the house
ဘဏ်ဖွင့်ချိန်က မနက်ကိုးနာရီကနေ ညနေသုံးနာရီအထိပါ။,The bank is open from nine in the morning to three in the afternoon
ကျွန်တော် တစ်ပတ် တစ်ခါ ကာရာအိုကေ သွားတယ်။,I go to a karaoke place once a week
မင်း ဘာအလုပ် လုပ်သလဲ။,What kind of work do you do
ဒီနေ့ မိုးရွာလို့ တစ်နေ့လုံး အိမ်မှာ ရှိတယ်။,It was raining yesterday so I was at my house the whole day
ရဲသားက ဘူတာအထိ လမ်းညွှန်ပေးတယ်။,The policeman showed us the way to the station
ညတိုင်း မအိပ်ခင် စာအုပ် ဖတ်တယ်။,Every night I read a book before going to sleep
မနှစ်က နှင်း သိပ် မကျဘူး။,It didnt snow very much last year
ပိုပြီး ဖြည်းဖြည်း ပြောပေးပါ။,Please talk more slowly
ဒီစာအုပ်က ခန်းဂျီးက များပြီး ခက်တယ်။,This book is difficult with a lot of kanji
ဒီဟင်းက ဘာမှ မဆမ်းဘဲ စားရတယ်။,We eat this without putting anything on it
အင်း၊ ကောင်းပါတယ်။,Yes okay
အိမ်အသစ်က ဘူတာနဲ့ နီးလို့ အရမ်း အဆင်ပြေတယ်။,The new house is close to the station so it is very convenient
ကျွန်တော် ကော်ဖီကို နို့ မထည့်ဘဲ သောက်တယ်။,I drink coffee without milk
ဒီနေ့ သူငယ်ချင်းနဲ့ ညစာ စားလာတယ်။,I had dinner with my friend today
ချောင်းဟိုဘက်ကို သွားချင်လို့ တံတားကို ကူးတယ်။,I want to go across the river so I will cross the bridge
မစ္စတာတာနာခါဆီက ရခဲ့တဲ့မုန့်ကို စားလိုက်တယ်။,I ate the snack I received from Mr Tanaka
ဓာတ်လှေခါး မစီးဘဲ လှေခါးကို သုံးတယ်။,I will not ride the lift but use the stairs
အဲဒီပုဂ္ဂိုလ်က ဒီကျောင်းကဆရာပါ။,That person is a teacher at this school
မစ္စတာခိမုရက ကျောင်းသား ဖြစ်ပြီး မစ္စတာတာနာခါကတော့ ကုမ္ပဏီဝန်ထမ်း ဖြစ်ပါတယ်။,Ms Kimura is a student but Mr Tanaka is an office worker
ကျွန်တော် ကောင်းတဲ့ဆိုင်ကို သိတယ်။,I know a good shop
မေးခွန်းက စာမျက်နှာဆယ်ငါးမှာ ရေးထားတယ်။,The question is written on page
ဒီနေရာက အရမ်း စည်ကားတဲ့နေရာ ဖြစ်တယ်။,This place is very lively
စာတိုက်မှာ ပို့စကတ် တစ်ခု ဝယ်မယ်။,I will buy a postcard at the post office
တမြန်နှစ်က မစ္စတာတာနာခါ တက္ကသိုလ်ထွက်ခဲ့တယ်။,Mr Tanaka graduated from university two years ago
မနက်ဖန် နေ့လယ်ဆို အတန်း ပြီးပြီ။,Class will finish in the morning tomorrow
ကျွန်တော် တနင်္ဂနွေနေ့လည်း အလုပ်လုပ်တယ်။,I work on Sundays too
ဒီနေ့ ရေမချိုးပါနဲ့။,Please dont take a bath today
နေ့တိုင်း သတင်းစာ ဖတ်ရင် မှတ်မိလိမ့်မယ်။,If you read the newspaper every day you can remember it
တိတ်ခွေ နားထောင်ပြီး ဂျပန်စာ လေ့လာတယ်။,I study Japanese by listening to tapes
စာသင်ခန်းမှာ ကွန်ပျူတာအသစ် ရှိတယ်။,There is a new computer in the classroom
နေ့တိုင်း တစ်နေ့ကို ရှစ်နာရီ အလုပ်လုပ်တယ်။,I work eight hours every day
ခြောက်ရက်နေ့က စာတိုက်နဲ့ကနေ အထုပ် ပို့လိုက်တယ်။,I sent a package at the post office on the sixth
အဲဒီစာအုပ်က ကျွန်တော့်ဟာပါ။,Our teacher is over there
အိမ်ရောက်ရင် ဆက်သွယ်လိုက်မယ်။,I will contact you when I get home
မစ္စတာဟယရှိရဲ့ အမျိုးသားက ဆေးရုံမှာ အလုပ်လုပ်နေတယ်။,Ms Kobayashis husband works at a hospital
မစ္စတာခိမုရရဲ့ အဖေက အသက် ငါးဆယ့်နှစ်နှစ်ပါ။,Ms Kimuras dad is  years old
ဒီစားသောက်ဆိုင်က ကြီးပြီး သန့်တယ်။,This restaurant is big and beautiful
အဲဒီကော်ဖီဆိုင်က စာအုပ်ဆိုင်ရဲ့ ဘေးနားမှာ ရှိတယ်။,That cafe is next to a bookstore
မနက်ဖန် အပူချိန် သုံးဆယ်ဒီဂရီအထိ မြင့်မှာဆိုတော့ ပူမယ်။,It will be  degrees tomorrow so it will be hot
ဒီခြေအိတ်က ခိုင်ပြီး ဈေးသက်သာတယ်။,These socks are cheap but wont wear out quickly
အေး၊ ကြိုက်ပါတယ်။,Yes I like it
စနေတနင်္ဂနွေမှာ သူငယ်ချင်းနဲ့ တောင်တက်မယ်။,I will climb the mountain with my friend on the weekend
ဒါကို မိတ္တူ ငါးစောင် ကူးမယ်။,I will make five copies of this
အလုပ်များလို့ နေ့လယ်စာ မစားလိုက်ရဘူး။,I was busy so I couldnt eat lunch
ဒီအဆောက်အအုံက သက်တမ်းကြာပြီး နာမည်ကြီးတယ်။,This building is old and famous
ကျွန်တော် ကြိုက်တဲ့စားစရာက ဂျပန်ကာရီပါ။,My favourite food is curry
ဒီထွက်ပေါက်ကနေ ထွက်ရင် စာကြည့်တိုက်နဲ့ အနီးဆုံးကို ရောက်မယ်။,If you use this exit it is the closest to the library
ကလေးက မုန့် လိုချင်နေတယ်။,The children want snacks
အခန်းထဲကို ဝင်ရင် တံခါး ပိတ်တယ်။,I close the door when I get into the room
ပင်လယ်နဲ့ နီးတဲ့နေရာက ငါးတွေက စားလို့ကောင်းတယ်။,The fish is delicious at places near the sea
ကုမ္ပဏီ သွားတဲ့အခါ အနက်ရောင်အနောက်တိုင်းဝတ်စုံကို ဝတ်တယ်။,When I go to work I wear a black suit
မဂ္ဂဇင်းကို စာကြည့်တိုက်မှာ ငှားလို့မရဘူး။,We cannot borrow magazines at the library
မစ္စတာဟယရှိဟာ ဘာကို ဝယ်ခဲ့ပါသလဲ။,Which one did Mr Hayashi buy
ဒီချောင်းကရေက သန့်တယ်။,The water in this river is clean
ရထားတံခါး ပိတ်မယ်။,The door to the train will shut
ကျောင်းအထိ လမ်းမလျှောက်ဘဲ ဘတ်စကား စီးတယ်။,I will ride the bus rather than walk to school
အဲဒီအခန်းကို မဝင်ရဘူး။,You cannot go into that room
ကျွန်တော် တေးဂီတကို နှစ်သက်တယ်။,I like music
အဲဒီအိတ်ကြီးက ကျွန်တော့်ဟာပါ။,That big bag is mine
စားပွဲခုံပေါ်မှာ ပန်းကန်လုံးနဲ့ တူတွေကို စီထားမယ်။,I arranged a bowl and chopsticks on the table
ဒီကုတ်အင်္ကျီက တစ်သောင်းပါ။,This coat costs ten thousand yen
ဘေးအတန်းကဆရာက ငယ်ငယ်လေးပဲ ရှိသေးတယ်။,The teacher next to our class is still young
ဘူတာကနေ ကုမ္ပဏီကို တက္ကစီ စီးသွားတယ်။,I ride the taxi from the station to work
မနေ့က အလုပ်များလို့ အရမ်း ပင်ပန်းသွားတယ်။,I was busy yesterday so I got very tired
ညနေစောင်း ခွေးနဲ့ ပန်းခြံကို လမ်းလျှောက် သွားတယ်။,I went for a walk with my dog in the park in the evening
ကျွန်တော် ကားကုမ္ပဏီမှာ အလုပ်လုပ်နေတယ်။,I am working at an automobile company
ရေဒီယိုနဲ့ သတင်း နားထောင်တယ်။,I listen to the news on the radio
မနေ့က ကျွန်တော် မစ္စတာယာမာဒါဆီက ယန်းတစ်ထောင် ချေးလိုက်တယ်။,I borrowed one thousand yen from Mr Yamada yesterday
