Myanmar,English
သံရုံး သွားမှာဆိုရင် နောက်ဘူတာမှာ ဆင်းရမယ်။,If you are going to the embassy you need to get off at the next station
နောက်အပတ် ကျွန်တော် သူငယ်ချင်းနဲ့ တိုကျို သွားလည်မယ်။,I will go to Tokyo to hang out next week
ရုပ်ရှင် ကြည့်နေတုန်းက ငိုလိုက်ရတယ်။,I cried when I was watching the film
မင်းတို့ရဲ့ စာသင်ခန်းက သုံးထပ်မှာ။,Everyone your classroom will be on the third floor
ရှပ်အင်္ကျီ သွားဝယ်မယ်။,I will go buy a shirt
ကျွန်တော် အဲဒီလူရဲ့ အကြောင်းကို မမှတ်မိဘူး။,I didnt remember that person
ကုန်တိုက်တို့ စူပါမားကက်တို့မှာ ဈေးဝယ်တယ်။,I shop at department stores and supermarkets
ဆယ်ရက်နေ့ မကျော်ခင်အထိ ဒီအလုပ်ကို မလုပ်လို့မဖြစ်ဘူး။,I must do this work by the tenth
ရေခဲသေတ္တာထဲမှာ ကြက်ဥ ခုနစ်လုံး ရှိတယ်။,There are seven eggs in the refrigerator
လေယာဉ်ပျံက တောင်ဘက်ကို ပျံသွားတယ်။,The airplane is flying south
ကျွန်တော့်မှာ ထိုင်းလူမျိုးသူငယ်ချင်း ရှိတယ်။,I have Thai friends
မစ္စတာမဆုအိက ဆိတ်ငြိမ်တဲ့မြို့မှာ နေတယ်။,Mr Matsui lives in a quiet town
မစ္စတာတာနာခါရဲ့ ဘယ်ဘက်မှာ မစ္စတာခိမုရ ရှိတယ်။,Ms Kimura is to the left of Mr Tanaka
ကိုးနာရီမှာ အိမ်က ထွက်မယ်။,I will leave the house at nine
ည အရမ်း မိုးချုပ်ပြီမို့ အိမ်ပြန်မယ်။,I will go home because it is already late
ကန်ထဲမှာ ငါး ရှိတယ်။,There is a fish in the lake
ဒီနေ့ တနင်္ဂနွေနေ့ ဆိုပေမဲ့ ကုမ္ပဏီ သွားရမယ်။,Today is a Sunday but I will go to the office
ဒီစာသင်ခန်းက အလင်းရောင်ကောင်းပြီး သန့်ရှင်းတယ်။,This classroom is bright and pretty
ဒါ အရေးကြီးတဲ့စာပါ။,This is a very important letter
ဒီမှာ သုံညဒီဂရီမို့လို့ အရမ်း ချမ်းတယ်။,It is zero degrees here so it is very cold
အဲဒီလမ်းဆုံကနေ ညာဘက်ကို ကွေ့ရင် သံရုံးကို တွေ့မယ်။,When you turn right at the intersection over there there will be an embassy
တခြား ဘာပစ္စည်း လိုချင်သေးလဲ။,Are there any other things you want
ကျွန်တော် မနက်တိုင်း လမ်းလျှောက် ထွက်တယ်။,I go for a walk every morning
ဂျပန်ကနွေရာသီက အရမ်း ပူတယ်။,Summer in Japan is very hot
နိုင်ငံခြားဘာသာကို လေ့လာရတာ ခက်တယ်။,It is hard to study a foreign language
စားပွဲပေါ်မှာ ပန်းအိုး ရှိတယ်။,There is a vase on the table
အခန်းထဲကို ဝင်ရင် တံခါး ပိတ်တယ်။,I close the door when I get into the room
ကျွန်တော့်ရဲ့ အခန်းမှာ စာရေးခုံတို့ အိပ်ရာတို့ တီဗွီတို့ ရှိတယ်။,There are a desk bed and TV in my room
ရှေ့လက နိုင်ငံခြားကို ခရီးထွက်ခဲ့တယ်။,I went on a trip abroad last month
မေးခွန်းက စာမျက်နှာဆယ်ငါးမှာ ရေးထားတယ်။,The question is written on page
မစ္စတာယာမာဒါက အမြဲတမ်း တက်ကြွနေပြီး၊ ဒီနေ့တော့ ငြိမ်နေတယ်။,Mr Tanaka is always full of energy but today he is quiet
ဒီနေ့ လမ်း အများကြီး လျှောက်ခဲ့တယ်။,I walked a lot today
မစ္စတာလီ တဖြည်းဖြည်း ဂျပန်စကား တော်လာပြီ။,Mr Lee is gradually getting better at Japanese
ဘာအတွက် ဂျပန်စာကို လေ့လာနေတာလဲ။,Why are you studying Japanese
ပြတင်းပေါက် ပွင့်နေတယ်။,The window is open
ပြတင်းပေါက် ပိတ်ထားတယ်။,The window is closed
ဂျပန်စာမှာ ခတခနစကားတွေ အများကြီး ရှိတယ်။,There are a lot of katakana words in Japanese
ကျွန်တော့်ညီလေးက ကိုးနှစ် ရှိပြီ။,My brother is nine years old
မစ္စတာဟယရှိက ကွန်ပျူတာကုမ္ပဏီမှာ အလုပ်လုပ်တယ်။,Mr Hayashi works for a computer company
စာရွက်ကို တစ်ရွက်စီ ယူပါ။,Please take one piece of paper at a time
မနက်ဖန် ဧပြီလ တစ်ရက်နေ့ပါ။,Tomorrow is  April
ဂျပန်ကို လာတုန်းက လေယာဉ်ကွင်းမှာ ဓာတ်ပုံရိုက်ခဲ့တယ်။,When I came to Japan I took pictures at the airport
သော့ မတွေ့လို့ အိတ်ထဲကို ရှာတယ်။,I could not find the keys so I looked inside my bag
အလုပ်ကိစ္စနဲ့ ဧည့်သည်နဲ့ တွေ့ရမှာမို့ နက်ကတိုင် စည်းရမယ်။,I will wear a tie because I will meet people in the course of my work
ဘဏ်ဖွင့်ချိန်က မနက်ကိုးနာရီကနေ ညနေသုံးနာရီအထိပါ။,The bank is open from nine in the morning to three in the afternoon
မသုံးတဲ့ ပစ္စည်းကို စာအုပ်စင်ပေါ် တင်မယ်။,I will put the things I do not use on top of the bookcase
စားပွဲပေါ်မှာ ဆေးလိပ်ပြာခွက် ရှိတယ်။,There is an ashtray on the table
ကျွန်တော့်ဘောပင်က ဒီဟာပါ။,This is my pen
ဒီဘက်က မစ္စတာခိုဘာယာရှိပါ။,This is Mr Kobayashi
နှစ်တိုင်း အမေ့ကို မွေးနေ့လက်ဆောင် ပေးတယ်။,Every year I give my mother a present on her birthday
လွန်ခဲ့တဲ့သုံးနှစ်က ဒီနိုင်ငံကို လာခဲ့တယ်။,I came to this country three years ago
ဂျပန်ရဲ့ နွေဦးလေက ကြမ်းတယ်။,In Japan the wind is strong in spring
မစ္စတာတာနာခါရဲ့ ညာဘက်မှာ မစ္စတာယာမာဒါ ရှိတယ်။,Mr Yamada is to the right of Mr Tanaka
ပါတီပွဲကို လူတွေ အများကြီး လာကြတယ်။,Many people came to the party
အိမ်ကခွေးက အကြီးကြီးပဲ။,My dog is very big
ကျွန်တော် ဒီနှစ်ကစပြီး ဂီတာတီး သင်မယ်။,I will learn the guitar starting this year
သီချင်းဆို ညံ့လို့ အဆိုလေ့ကျင့်မလား စဉ်းစားနေတယ်။,I am not good at singing so I am thinking of practising
ဟိုဘက်လမ်းမှာ အိမ်တွေ အများကြီး တန်းစီနေတယ်။,There are a lot of houses lined up across the street
ပိတ်ရက်မှာ သူငယ်ချင်းနဲ့ ဈေးသွားဝယ်မယ်။,I go shopping with my friend on my days off
ထူးချွန်တဲ့လူ ဖြစ်ချင်တယ်။,I would like to become a respectable adult
ကုမ္ပဏီကို ဖုန်းနဲ့ ဆက်သွယ်လိုက်ပါ။,Please contact the company by telephone
ဆံပင်မညှပ်ခင် ခေါင်း အရင် လျှော်တယ်။,I shampoo my hair before I cut it
နွေဦးဆို ပန်းတွေ အများကြီး ပွင့်တယ်။,A lot of flowers blossom in spring
ဒီဟိုတယ်က အခန်းတွေက အရမ်း သန့်တယ်။,This hotel room is very pretty
အပြင်ထွက်တုန်းက မီးပိတ်ဖို့ မေ့သွားတယ်။,I forgot to turn off the lights when I went out
ကျွန်တော့်အဒေါ်က ပန်းဆိုင်မှာ အလုပ်လုပ်နေတယ်။,My aunt works at a flower shop
စားပွဲခုံပေါ်မှာ ပန်းကန်လုံးနဲ့ တူတွေကို စီထားမယ်။,I arranged a bowl and chopsticks on the table
မနေ့ညက ပင်ပန်းလို့ အစောကြီး အိပ်တယ်။,I went to sleep early last night because I was tired
ကျွန်တော် နေ့တိုင်း ကျောင်းကို လမ်းလျှောက်သွားတယ်။,I walk to school every day
ဒီည ဘယ်မှ မသွားချင်ဘူး။,I do not want to go anywhere tonight
ရေခဲသေတ္တာထဲမှာ ဘာမှ မရှိဘူး။,There is nothing in the refrigerator
မနက်ဖန် မမေ့မလျော့ စာအုပ် ပြန်ပေးမယ်။,I will not forget to return the book to you
မစ္စတာမဆုအိက ဆေးလိပ် မကြိုက်လို့ မသောက်ဘူး။,Mr Matsui doesnt like tobacco so he does not smoke
ဆောင်းတွင်း ရောက်ရင် ဂျပန်ရဲ့ မြောက်ဘက်ပိုင်းမှာ အရမ်း အေးတယ်။,During the winter the northern part of Japan gets very cold
ညီမလေးက အဖေ့ကို ထမင်းဘူး ထည့်ပေးတယ်။,My little sister made a boxed lunch for my father
ပန်းကန်လုံးနဲ့ ထမင်းစားတယ်။,I eat rice in a bowl
ကျွန်တော် အားကစား ဝါသနာမပါဘူး။,I dont like sports
ညီလေးက ကိုယ်ခန္ဓာ အရမ်း သန်မာတယ်။,My brother has a strong body
ခုနစ်ရက်နေ့အရောက် ပိုက်ဆံလွှဲလိုက်မယ်။,I will transfer the money by the seventh
မစ္စတာမဆုအိက မစ္စတာဟယရှိနဲ့ စကားပြောနေတယ်။,Mr Matsui is talking with Mr Kobayashi
ကျေးဇူး အများကြီး တင်ပါတယ်။,Thank you very much
ကာရာအိုကေ သွားရင် အမြဲတမ်း ဒီသီချင်း ဆိုတယ်။,I always sing this song at karaoke
မစ္စတာလီကို ဒီစကားရဲ့ အဓိပ္ပာယ်ကို သင်ပေးခဲ့တယ်။,I taught Mr Lee the meaning of this word
နွေ ရောက်ရင် ပူလာမယ်။,In summer it becomes hot
ဒီစာသင်ခန်းမှာ ကွန်ပျူတာ ခုနစ်လုံး ရှိတယ်။,There are seven computers in this classroom
မနက်ဖန် ရာသီဥတုပူမှာမို့လို့ ရေကူးကန်မှာ ရေသွားကူးမယ်လို့ စိတ်ကူးထားတယ်။,It is going to get hot tomorrow so I was thinking about swimming in the pool
လက်ကိုင်ဖုန်းက သေးပြီး အရမ်း အဆင်ပြေတယ်။,Mobile phones are small and very useful
ဒီနေ့ ညစာအတွက် ကာရီ ချက်မယ်လို့ စိတ်ကူးထားတယ်။,Today I will make curry for dinner
ကိတ်မုန့် စားတဲ့အခါ ခက်ရင်းကို သုံးတယ်။,I use a fork when I eat cake
ကျွန်တော် ခန်းဂျီး ရေးတတ်တယ်။,I can write kanji
ဟင့်အင်း၊ မစပ်ပါဘူး။,No it is not spicy
ဒီသေတ္တာက အနံ တိုပြီး အလျား ရှည်တယ်။,The vertical line of this box is short and the horizontal line is long
ချောင်းဟိုဘက်ကို သွားချင်လို့ တံတားကို ကူးတယ်။,I want to go across the river so I will cross the bridge
နေ့တိုင်း ဂျပန်စာ လေ့လာနေပေမဲ့ ခန်းဂျီးကိုတော့ မှတ်လို့ မရဘူး။,Although I study Japanese every day I cannot memorize Kanji
အတန်းသားတွေ၊ လာမယ့်အပတ်မှာ ခန်းဂျီးစာမေးပွဲ စစ်မယ်။,Everyone there will be a kanji test next week
စားသောက်ဆိုင်မှာ ထမင်းစားတယ်။,I eat at the cafeteria
ဂျပန်စာအဘိဓာန်က အဲဒါပါ။,That is the Japanese dictionary
တိရစ္ဆာန်သေးသေးလေးတွေက အရမ်း ချစ်ဖို့ကောင်းတယ်။,Small animals are very cute
မနေ့က ရုပ်ရှင်ကြည့်ဖို့ တစ်နာရီ တန်းစီခဲ့ရတယ်။,I waited in queue for an hour to watch the film yesterday
ဘောပင် ပါမလာတဲ့သူတွေ ခဲတံနဲ့ဆိုလည်း ရတယ်။,People who have not brought a ballpoint pen may use a pencil
အားလုံး ဒီတက္ကသိုလ်ကကျောင်းသားတွေပါ။,Everyone is a student at this university
ညနေ ပန်းခြံမှာ လမ်းသွားလျှောက်မယ်။,I went for a walk in the park this evening
နာမည် ရေးပါ။,Please write your name
မျက်စိ မကောင်းလို့ မျက်မှန်တပ်မယ်။,I will wear glasses because my eyes are bad
နက်ဖန်မနက်ကျရင် အဝတ်မလျှော်လို့မဖြစ်ဘူး။,I must do the laundry tomorrow morning
အမေ့ကို ဆယ့်တစ်လပိုင်း နှစ်ဆယ့်ကိုးရက်နေ့မှာ မွေးခဲ့တယ်။,My mother was born on the th of November
ကိုယ်ခံအား မကောင်းလို့ အားကစားလုပ်လို့မရဘူး။,I cannot play sport because my body is weak
အတော်ပဲ၊ အခု ပွဲစတော့မယ်။,The competition is just about to start now
ဒီရုပ်ရှင်က သိပ်မကောင်းဘူး။,This film was not really good
ဘယ်နိုင်ငံကပါလဲ။,Where is your country
ဆောင်းဦးက အေးမြတယ်။,It is cool in autumn
မစ္စတာမဆုအိက ခဲတံ ငှားပေးတယ်။,I borrowed a pencil from Mr Matsui
ကျွန်တော် ပန်းချီဆွဲတာ ညံ့တယ်။,I am not good at drawing pictures
ဟိုမှာ ဆရာ ရှိတယ်။,That book is mine
ဒီမှာ အဖြေ ရေးမယ်။,I will write the answer here
ဘယ်တုန်းကတည်းက ဂျပန်စာကို လေ့လာနေတာလဲ။,When did you start studying Japanese
ဒီအနားတဝိုက်မှာ ခဏ နားရအောင်။,I will rest for a moment around here
အိမ်ပြန်ရင် သန့်ရှင်းရေးလုပ်မယ်လို့ စိတ်ကူးထားတယ်။,When I get home I am going to clean my room
ပင်ပန်းလို့ ထိုင်ပြီး အနားယူမယ်။,I am tired so I will sit and rest
ဒီမုန့်က စားလို့ ကောင်းတယ်။,This snack is yummy
ဂျပန်နဲ့ နိုင်ငံခြားက ဘာသာစကား ကွဲပြားတယ်။,The languages spoken in Japan are different from those in overseas countries
မနေ့က တစ်နေ့လုံး စာဖတ်လိုက်လို့ ဒီနေ့တော့ ကစားမယ်။,I studied all day yesterday so I will play today
ဒီစက္ကူကို အလျားလိုက် ဖြတ်မယ်။,I will cut this paper vertically
တို့အိမ်မှာ တီဗွီ သုံးလုံး ရှိတယ်။,There are three TVs in my house
ပင်လယ်နဲ့ နီးတဲ့နေရာက ငါးတွေက စားလို့ကောင်းတယ်။,The fish is delicious at places near the sea
သေတ္တာပုံးထဲမှာ ခွေးသေးသေးလေး ရှိတယ်။,There is a small dog in the box
ဒီအိတ်ကို ဈေးကြီးကြီး ပေးခဲ့ရတယ်။,This bag was expensive
မနက်တိုင်း နွားနို့ တစ်ခွက် သောက်တယ်။,I drink one glass of milk every morning
မနေ့က မစ္စတာယာမာဒါဆီက ခရီးအပြန်လက်ဆောင် ရခဲ့တယ်။,Yesterday I received a souvenir from Mr Yamada
နောက်အပတ်ကစပြီး နှစ်ပတ်ကြာ နိုင်ငံခြားခရီး သွားမယ်။,I will go on a trip abroad for two weeks from next week
ကျောင်းက အဲဒီတောင်နားမှာ ရှိတယ်။,The school is near that mountain
ဘယ်လို ပြောရမလဲ၊ သိပ် နားမလည်ဘူး။,Well I dont know Im not really sure
ကျွန်တော် ကျောင်းသားပါ။,I am a student
ကိုယ် အရမ်း ပူလို့ ကျောင်းမသွားနိုင်ဘူး။,My fever was too high so I couldnt go to school
ဒီစာစီစာကုံးက အရေးအသား တော်တော် ကောင်းတယ်။,You wrote this essay very well
ကလေးလေး ပန်းခြံမှာ ကစားနေတယ်။,There are children playing in the park
နိုင်ငံခြား သွားတဲ့အခါ ပတ်စပို့ လိုတယ်။,You need your passport when you go abroad
ကျွန်တော့်အခန်းမှာ ထိုင်ခုံ သေးသေးလေး ရှိတယ်။,There is a small chair in my room
ပင်လယ်မှာ လူတွေ အများကြီး ရေကူးနေတယ်။,There are many people swimming at the beach
အခု ကျွန်တော့်မိဘတွေ နိုင်ငံခြားမှာ နေတယ်။,My parents are overseas
မစ္စတာလီကို ဆား ယူပေးတယ်။,I got the salt for Mr Lee
မနက်ဖန် လေပြင်းတိုက်မယ်ဆိုပဲ။,They say the wind will blow hard tomorrow
မအိပ်ခင် အပူပေးစက်ကို ပိတ်တယ်။,I turn off the heater before I sleep
အဖြေ မရေးခင် မေးခွန်းကို သေချာ ဖတ်ရတယ်။,When writing an answer you must read the question carefully
ဒီအိမ်မှာ တစ်ယောက်ယောက် နေနေသလိုပဲ။,It feels like someone is living in this house
ရေသောက်ချင်တယ်။,I want to drink water
အိမ်သစ်က မီးဖိုချောင် ကျယ်လို့ အရမ်း အဆင်ပြေတယ်။,It is very convenient because the kitchen in my new house is big
မစ္စတာခိုဘာယာရှိရဲ့ အဒေါ်က တိုကျိုမှာ နေတယ်။,Mr Kobayashis aunt lives in Tokyo
မစ္စတာယာမာဒါက အလွန် တက်ကြွတဲ့လူ ဖြစ်တယ်။,Mr Tanaka is a very cheerful person
အမြဲတမ်း တစ်ယောက်တည်း စာဖတ်နေတယ်။,I always study by myself
ကော်ဖီ သောက်မလား။,Would you like some coffee
ရေကြောင်းနဲ့ စာပို့ရင် အချိန် အရမ်း ကြာတယ်။,If you send a letter by sea it will take time
ရုပ်ရှင်ကြည့်ခဲ့တယ်။,I watched a film
ဒီလက်ဖက်ရည်က ပူတယ်။,This tea is hot
မစ္စတာဟယရှိရဲ့ ထမင်းဘူးက စားချင်စရာကောင်းလိုက်တာ။,Mr Hayashis boxed lunch looks yummy
မနေ့က ကာရာအိုကေ သွားပေမဲ့ သိပ် မဆိုဖြစ်ဘူး။,I went to a karaoke place yesterday but I didnt sing a lot
မီးပိတ်ထားပြီးပြီ။,The lights were already off
ကျွန်တော် တိတ်ဆိတ်ပြီး လှပသန့်ရှင်းတဲ့နေရာမှာ နေချင်တယ်။,I want to live in a quiet and beautiful place
ဘေးနားကစာသင်ခန်းက အရမ်း စည်ကားတယ်။,The class next to ours is very loud
ဘယ်ဟာ အရသာ အရှိဆုံးလဲ။,Which one is the most delicious
ဒီနေ့ ရာသီဥတု မကောင်းဘူး။,The weather is bad today
ဒီပုစ္ဆာက အရမ်း လွယ်တယ်။,This question is very easy
မစ္စတာခိမုရရဲ့ ဆံပင်က အနီရောင်ပါ။,Ms Kimuras hair is brown
မစ္စခိမုရက အရမ်း ချစ်ဖို့ကောင်းတယ်။,Ms Kimura is very cute
မနေ့ကစာမေးပွဲက လွယ်တယ်။,Yesterdays test was easy
ရေချိုးခန်း ဝင်မလို့ အင်္ကျီချွတ်မယ်။,I will take off my clothes because I am going to take a bath
ရေခဲသေတ္တာထဲမှာ ကြက်ဥတွေ ဟင်းသီးဟင်းရွက်တွေနဲ့ သစ်သီးတွေ ရှိတယ်။,There are eggs vegetables fruit and so on in the refrigerator
ကျွန်တော် အဲဒီတောင်ကို တက်ဖူးတယ်။,I have climbed that mountain before
အိမ်သာက ထွက်လာတဲ့အခါ လက်ကို ဆေးတယ်။,I wash my hands after going to the toilet
အိမ်မှာ ခွေးနဲ့ ကြောင် ရှိတယ်။,There are a dog and a cat in my house
လက်ကို အပေါ်ကို မြှောက်တယ်။,I will raise my hand
နိုင်ငံခြားသွားတဲ့အခါ ပတ်စပို့ကို ယူသွားတယ်။,When we go abroad we bring our passports
ညနေ မစောင်းခင်ထိ ဒီအလုပ်ကို ပြီးအောင် လုပ်ရမယ်။,I need to finish this work by evening
မနက်ဖန် မစ္စတာခိမုရနဲ့ နှစ်ယောက်တည်း ရေကူးကန် သွားမယ်။,The two of us Ms Kimura and I will go to the pool tomorrow
အဘိဓာန် သုံးပြီး အင်္ဂလိပ်စာ လေ့လာတယ်။,I study English using a dictionary
စာရေးခုံအောက်မှာ လွယ်အိတ် ရှိတယ်။,There is a bag under the desk
ရှေ့အပတ်က မိုး ဆက်တိုက် ရွာတယ်။,The rain continued for several days last week
ရှေ့အပတ်တုန်းက အမေ့မွေးနေ့။,It was my mothers birthday last week
မစ္စတာယာမာဒါရဲ့ မွေးနေ့ကျရင် ပါတီလုပ်မယ်။,We will have a party for Mr Yamadas birthday
စနေနေ့ နေ့လယ်ပိုင်းမှာ တင်းနစ်ကစားရအောင်လား။,Why dont we play tennis Saturday afternoon
ကျောင်းမှာ နေ့တိုင်း ခန်းဂျီးစာမေးပွဲ ရှိတယ်။,There is a kanji test at school every day
ကျောင်းအထိဆို ဘတ်စကားထက်စာရင် ရထားက ပိုမြန်တယ်လို့ ထင်တယ်။,I think taking the train to school is faster than taking the bus
ဆေးလိပ်သောက်တဲ့အခါ ဆေးလိပ်ပြာခွက်ကို သုံးတယ်။,When I smoke I use an ashtray
ဆရာက မစ္စတာယာမာဒါရဲ့ နာမည်ကို ခေါ်လိုက်တယ်။,The teacher called Mr Yamadas name
ဆောရီးပဲ။ နက်ဖန်ခါတော့ သိပ် အဆင်မပြေဘူး။,B Im sorry Tomorrow is a little
နွေဦးရောက်ရင် နွေးလာမယ်။,It gets warm when it is spring
မနေ့ကစာမေးပွဲက အရမ်း ခက်တယ်။,Yesterdays test was very hard
ဒီခလုတ်ကို နှိပ်ရင် တံခါး ပွင့်မယ်။,If you press this button the door will open
ကျွန်တော်က တိုကျိုမှာ နေပေမဲ့ ညီလေးကတော့ ကျိုတိုမှာ နေတယ်။,I live in Tokyo whereas my little brother lives in Kyoto
အင်း၊ ဟုတ်တယ်။,Yes that is true
ကျွန်တော် ကောင်းတဲ့ဆိုင်ကို သိတယ်။,I know a good shop
ကျွန်တော် တစ်ပတ် တစ်ခါ ကာရာအိုကေ သွားတယ်။,I go to a karaoke place once a week
သန်ဘက်ခါ ပင်လယ်မှာ ရေသွားကူးမယ်လို့ စိတ်ကူးထားတယ်။,I am thinking of going to the beach to swim the day after tomorrow
ခရီး အတူတူ သွားကြမလား။,Would you like to go on a trip together
မနေ့တုန်းကညစာက အသားဟင်းနဲ့ပါ။,Yesterdays dinner was a meat dish
ဂျပန်က ဟင်းတွေက စပ်သလား။,Is Japanese food spicy
လမ်းကူးပြီး ဘယ်ဘက်ခြမ်းကနေ လျှောက်ရအောင်။,Lets cross the street and walk on the left
ကျွန်တော့်မှာ ညီအစ်ကိုမောင်နှမ နှစ်ယောက် ရှိပါတယ်။,I have two brothers
ဟင့်အင်း၊ မကိုက်ဘူး။,No it doesnt hurt
မနေ့တုန်းကပါတီက ပျော်ဖို့ကောင်းပါတယ်။ ဒါပေမဲ့ နည်းနည်းတော့ ပင်ပန်းသွားတယ်။,The party yesterday was fun but it was tiring
မိုးရွာမလိုပဲ။,It looks like it is going to rain
မီးဖို ငြိမ်းသွားလို့ ချက်ချင်း ပြန်ထွန်းလိုက်တယ်။,I turned on the heater quickly when it went out
ဒီမြို့က ကြီးပြီး စည်ကားတဲ့မြို့ ဖြစ်တယ်။,This place is a big and bustling town
နားမလည်တာ ရှိလို့ ဆရာ့ကို မေးမယ်။,I will ask my teacher a question because there is a question I do not understand
ကျွန်တော် မနက်တိုင်း ကော်ဖီ သောက်တယ်။,I drink coffee every morning
မနေ့က သော့ ပျောက်သွားတယ်။,I lost my keys yesterday
မစ္စတာဟယရှိရဲ့ ညီလေးက ဘောလုံး ကစားနေတယ်။,Mr Kobayashis little brother plays football
ကျွန်တော် နွားနို့ မကြိုက်လို့ သိပ် မသောက်ဘူး။,I dont like milk so I dont drink it that much
ဒီလ အလုပ် အရမ်း ရှုပ်တယ်။,I was very busy with work this month
အဲဒီစားသောက်ဆိုင်က ဈေးပေါတယ်။ ဒါပေမဲ့ သိပ် စားလို့မကောင်းဘူး။,That restaurant is cheap but it doesnt taste very good
ကျွန်တော် သစ်သီးတို့ ဟင်းသီးဟင်းရွက်တို့ကို ဟင်းသီးဟင်းရွက်ဆိုင်မှာ ဝယ်တယ်။,I buy fruits and vegetables at a vegetable shop
ဒီဟိုတယ်က တစ်နေ့ကို ယန်းခုနစ်ထောင့်ရှစ်ရာပါ။,This hotel is  yen a day
ဒီည သူငယ်ချင်း အိမ်မှာ လာတည်းမယ်။,My friend is going to stay at my house tonight
ကားက ဈေးကြီးပေမဲ့ အဆင်ပြေတယ်။,Cars are expensive but convenient
တက္ကစီ တစ်စီး ခေါ်မယ်။,I will call a taxi
ကျွန်တော် ဒီသီချင်းကို အကြိုက်ဆုံးပဲ။,I like this song the best
ဂျပန်မှာ အိမ်ထဲကို ဝင်တဲ့အခါ ဖိနပ်ချွတ်တယ်။,In Japan when you enter a house you take off your shoes
ဒီနေ့လည်း ညီမလေးက ကိုယ်တွေ ဆက်တိုက် ပူနေလို့ စိတ်ပူလိုက်တာ။,I am worried because my sister still has a high fever
မစ္စတာလီက ဂျပန်လို တတ်တယ်။,Mr Lee can speak Japanese
ကင်မရာအသစ် ဝယ်လိုက်တယ်။,I bought a new camera
မနက်ဖန်ည သူငယ်ချင်းနဲ့ တွေ့ရမှာမို့ အပြင်ထွက်မယ်။,I will go out with my friend tomorrow night
